Patient ID,Disease,240,244,460,998,1303,2758,2879,3102,4133,7147,7222,7410,7500,7602,7720,7874,8133,8194,8343,8814,9231,9268,10914,11006,11169,11170,11172,11230,12053,12160,12388,14257,15600,16663,16821,17100,17835,19602,21205,21630,22568,23229,23284,29996,31236,31355,41209,73219,75084,85781,90232,103653,136569,137353,141033,146102,160669,520958,537332,551986,557859,558880,567717,574439,575987,622436,637516,5370158,5370325,6041429,6429350,9602988,13544681,13596727,91713521,91726212,91731726,91742720
asthma_1,asthma,384409.6,37806.01,28728.297,631.11804,1220274.8,35969.58,1588984.6,15701.831,32863.66,42199.184,8755.386,142097.94,234542.53,37299.855,434885.6,7091.7334,123889.78,7682.766,11035.653,3059.1562,66560.06,731129.3,71618.04,19863.195,2951.2788,139404.92,26159.068,10222.319,1128385.5,17547.557,12592.344,310463.38,39899.414,7788.747,3503.34,90794.3,21376.53,3133697.8,5616.9834,6759.5405,12772.703,873.9027,54185.11,75977.16,134885.27,90963.82,13604.773,5508.1484,5043.989,8460.297,381104.3,2517.808,17587.734,4974.895,6519.674,16165.967,7236.344,6798.368,1786.3821,17048.652,1583.8229,17319.375,918.27734,8313034.0,1770510.1,83224.375,2122.7805,5350.7114,6816.1196,58828.293,4878.09,2001530.6,24186.672,6018.272,14091.663,4562.1562,144009.11,16405.61
asthma_2,asthma,293111.34,86823.74,130950.375,8609.853,330359.94,16243.147,37654.2,15130.178,11936.417,73768.89,23002.984,500481.16,47522.023,5125.9434,743706.06,2864.9023,135706.53,6566.474,4136.6006,3412.9292,30214.076,237789.58,42683.72,15573.139,4450.7324,22061.541,10186.018,26177.836,4251611.0,20713.457,23635.65,248222.5,10668.247,13333.066,2122.9932,23604.428,40130.79,206863.36,4952.8877,7794.1646,17289.602,1149.6342,164242.39,111706.18,34876.98,24160.045,3532.5566,5054.7534,5424.822,8540.65,282134.9,2924.7974,25635.258,1668.6123,19074.229,7815.172,17257.855,2225.0574,2581.6006,7037.987,4201.7583,1894.6536,2262.868,4767458.5,19353.824,49616.86,11072.163,24786.445,1094.5183,59284.72,9377.1,109669.75,117626.0,17744.9,5942.7524,4850.598,78574.88,11411.2705
asthma_3,asthma,367835.38,121862.414,212622.78,5596.9863,345733.88,20775.047,40866.625,14703.448,362957.9,109137.63,41563.715,724011.7,136204.67,15507.643,1515193.4,7918.28,109257.71,11119.436,31516.473,7421.276,45217.87,105437.66,831352.0,23212.014,6325.3433,44218.383,15692.205,62066.535,5940252.5,50898.547,21960.297,444462.6,30798.117,34577.086,10539.04,101655.43,80693.805,2755146.0,9406.2295,4465.6934,11639.365,15909.705,239409.47,126000.5,75535.0,74568.95,5972.6997,5068.8857,3376.7004,39121.25,649980.3,16709.826,100014.7,13080.85,26324.346,11076.916,43151.508,6758.838,5292.788,7204.245,3698.7783,24128.314,27728.24,7719347.5,111952.54,81708.65,14558.771,4016.412,13775.569,30972.021,7377.4556,1079997.6,189848.69,12388.911,2722.2056,17167.566,136855.05,32599.104
asthma_4,asthma,455920.97,205213.4,105552.45,6751.9307,1405763.2,17008.424,183569.08,29794.385,14367.643,106993.734,37421.14,741401.75,287866.7,31964.598,1096152.9,6140.5166,149271.03,12606.211,11167.018,21300.377,43649.52,705142.75,943924.0,46002.207,7814.963,149391.36,42737.0,27447.219,5363511.0,41671.953,46254.723,513715.3,49196.703,27978.285,10666.334,62611.11,84598.54,3681688.0,14314.846,2812.7842,22007.408,1718.3397,190693.73,214940.25,89114.52,125691.45,24137.658,17002.47,14475.407,50816.625,894615.3,31584.896,68377.55,5790.057,11884.787,18458.77,105006.46,20890.623,14061.912,21229.213,3562.0947,32952.227,6817.4526,8312241.0,1743268.8,65999.45,13089.772,7320.4897,12465.062,37179.246,13441.556,1926252.5,307865.8,13296.569,18186.568,7826.5923,154461.3,19877.844
asthma_5,asthma,101240.57,66503.97,59066.938,2703.4238,296258.03,7999.8857,10255.562,26710.977,5286.32,44293.17,27942.178,234683.27,18972.248,7157.998,343125.47,2254.4033,33155.363,9593.729,5783.1025,4252.24,24751.625,188863.6,59015.695,16589.541,5735.8853,21000.23,9263.785,15416.847,2950824.2,7537.635,11609.675,251237.34,10322.449,11283.8545,5308.568,22643.252,41075.164,485348.1,5450.9116,18331.96,19626.64,3087.4194,178050.56,81150.055,28712.465,40732.113,3734.16,5331.215,3394.6936,13273.281,420818.3,7489.6265,25209.105,1223.7683,18942.777,8461.709,15328.351,3352.6914,2069.6616,5505.186,9480.175,9957.612,5840.21,3070959.5,180858.61,29822.756,7788.985,7318.6465,4389.789,23407.152,8076.5454,42674.316,35109.12,9126.622,4010.811,8335.252,77167.6,13714.859
asthma_6,asthma,9347.409,8890.997,24814.639,3019.014,60714.434,14479.329,8772.714,24671.494,1737.8604,15157.447,3375.4187,4332.233,618.00446,25951.703,27542.299,4759.3604,18345.69,19540.297,4015.0142,3935.993,9129.19,771296.94,1187.492,42524.73,13143.189,22367.639,8320.739,11781.24,57768.555,1747.0192,23008.008,100419.47,11417.65,15634.094,3790.9436,72251.17,43380.805,167546.34,9065.952,32114.568,725.30414,3917.2908,208631.61,158966.45,1244.5526,60677.156,6052.4727,18352.568,10989.533,12874.768,624488.25,3122.2485,20096.6,190.2461,7332.3413,10582.977,73.929726,3118.5781,5565.0513,6120.524,9947.351,6277.5063,6633.6753,3235.2837,69493.71,22319.074,1757.7451,59499.844,1468.1439,208694.48,13605.799,5660.1978,62.101612,25990.242,8927.468,11071.814,9625.974,13885.262
asthma_7,asthma,332474.06,151899.75,112827.914,10124.089,432210.06,17515.855,76832.52,13190.47,10038.293,61129.85,20305.87,381719.4,56126.754,6371.551,922049.25,3206.8086,145362.73,7023.395,5122.82,3338.9094,26372.066,387343.66,58957.7,20507.752,3629.3606,19841.12,9189.758,23315.025,4292126.5,14764.801,30475.111,265938.22,15650.759,14192.187,1862.3973,30817.303,37427.496,212553.45,5683.564,10340.816,10707.503,940.6259,113450.484,109847.27,34712.156,27884.889,3155.73,10174.822,6346.2344,8192.785,273880.2,2089.4705,25541.426,1748.7645,12298.25,7465.406,25856.762,1847.0818,2802.068,8346.135,3431.1548,923.6121,1919.8242,4958937.5,33106.2,113184.09,12367.035,52842.582,883.43567,158787.95,10239.807,403856.1,157375.5,25162.986,7612.0215,4608.277,53257.344,11286.718
asthma_8,asthma,326187.44,199286.19,90347.05,6544.7705,658661.4,24859.906,23904.422,41432.992,4723.4185,106668.32,43994.184,451627.66,88325.12,23136.844,1125745.8,4966.086,109253.33,13371.767,24502.99,15656.237,50003.062,662436.7,657670.3,29658.389,4792.7036,84868.27,31224.443,28006.637,4764663.0,18022.191,25478.898,422274.0,36709.934,17487.695,13280.169,18098.238,66606.67,3759161.0,7403.191,2140.9844,21833.367,9109.551,251950.2,145566.38,82304.28,97119.47,8859.65,15765.004,14441.526,38743.83,709614.75,25663.145,22654.225,8375.672,30688.52,11797.016,84443.05,17093.393,4147.842,10792.139,10671.707,32242.232,10899.71,7783149.0,231518.83,116781.99,10922.896,7712.1924,12223.095,32310.2,12082.443,1288145.8,365814.03,9697.741,8823.709,10016.096,199272.7,23748.469
asthma_9,asthma,154875.19,136695.0,106535.85,13119.269,72791.96,28674.62,13691.178,20504.035,1116165.1,61042.47,22800.316,668866.06,173062.66,13476.844,1157936.0,16646.916,126598.05,10338.706,21263.518,12417.077,37234.105,178534.48,705232.9,40935.2,6674.918,96770.266,38255.46,70053.26,3830095.5,11999.551,47151.113,441410.22,33264.25,20200.848,8029.768,572826.5,71871.41,2399021.2,10762.299,1553.2571,512.02985,33355.074,226191.27,145350.95,6202.7085,88119.734,13339.909,15522.958,6422.3096,40858.13,765024.6,18925.604,98289.32,6515.1914,17393.965,16970.832,69680.39,8234.997,4853.653,15022.911,9888.4,13671.318,15275.563,7223625.5,260046.19,88120.16,6623.054,8192.691,6729.6074,71771.61,13960.513,802296.56,132040.12,20107.701,4432.2354,8812.633,187451.75,36603.027
